TIME, FY_5,,
0.129235625,-552.590163,,
0.129435625,-553.44533,,
0.129635625,-554.300497,,
0.129835625,-555.155664,,
0.130035625,-556.01083,,
0.130235625,-556.865997,,
0.130435625,-557.721164,,
0.130635625,-558.576331,,
0.130835625,-559.431497,,
0.131035625,-560.286664,,
0.131235625,-561.141831,,
0.131435625,-561.996998,,
0.131635625,-562.852164,,
0.131835625,-563.707331,,
0.132035625,-564.562498,,
0.132235625,-565.417665,,
0.132435625,-566.272832,,
0.132635625,-567.127998,,
0.132835625,-567.983165,,
0.133035625,-568.838332,,
0.133235625,-569.693499,,
0.133435625,-570.548665,,
0.133635625,-571.403832,,
0.133835625,-572.258999,,
0.134035625,-573.114166,,
0.134235625,-573.969332,,
0.134435625,-574.824499,,
0.134635625,-575.679666,,
0.134835625,-576.534833,,
0.135035625,-577.389999,,
0.135235625,-578.245166,,
0.135435625,-579.100333,,
0.135635625,-579.9555,,
0.135835625,-580.810666,,
0.136035625,-581.665833,,
0.136235625,-582.521,,
0.136435625,-583.376167,,
0.136635625,-584.231333,,
0.136835625,-585.0865,,
0.137035625,-585.941667,,
0.137235625,-586.796834,,
0.137435625,-587.652,,
0.137635625,-588.507167,,
0.137835625,-589.362334,,
0.138035625,-590.217501,,
0.138235625,-591.072667,,
0.138435625,-591.927834,,
0.138635625,-592.783001,,
0.138835625,-593.638168,,
0.139035625,-594.493335,,
0.139235625,-595.348501,,
0.139435625,-596.203668,,
0.139635625,-597.058835,,
0.139835625,-597.914002,,
0.140035625,-598.769168,,
0.140235625,-599.624335,,
0.140435625,-600.479502,,
0.140635625,-601.334669,,
0.140835625,-602.189835,,
0.141035625,-603.045002,,
0.141235625,-603.900169,,
0.141435625,-604.755336,,
0.141635625,-605.610502,,
0.141835625,-606.465669,,
0.142035625,-607.320836,,
0.142235625,-608.176003,,
0.142435625,-609.031169,,
0.142635625,-609.886336,,
0.142835625,-610.741503,,
0.143035625,-611.59667,,
0.143235625,-612.451836,,
0.143435625,-613.307003,,
0.143635625,-614.16217,,
0.143835625,-615.017337,,
0.144035625,-615.872503,,
0.144235625,-616.72767,,
0.144435625,-617.582837,,
0.144635625,-618.438004,,
0.144835625,-619.29317,,
0.145035625,-620.148337,,
0.145235625,-621.003504,,
0.145435625,-621.858671,,
0.145635625,-622.713837,,
0.145835625,-623.569004,,
0.146035625,-624.424171,,
0.146235625,-625.279338,,
0.146435625,-626.134504,,
0.146635625,-626.989671,,
0.146835625,-627.844838,,
0.147035625,-628.700005,,
0.147235625,-629.555171,,
0.147435625,-630.410338,,
0.147635625,-631.265505,,
0.147835625,-632.120672,,
0.148035625,-632.975838,,
0.148235625,-633.831005,,
0.148435625,-634.686172,,
0.148635625,-635.541339,,
0.148835625,-636.396505,,
0.149035625,-637.251672,,
0.149235625,-638.106839,,
0.149435625,-638.962006,,
0.149635625,-639.817172,,
0.149835625,-640.672339,,
0.150035625,-641.527506,,
0.150235625,-642.382673,,
0.150435625,-643.237839,,
0.150635625,-644.093006,,
0.150835625,-644.948173,,
0.151035625,-645.80334,,
0.151235625,-646.658506,,
0.151435625,-647.513673,,
0.151635625,-648.36884,,
0.151835625,-649.224007,,
0.152035625,-650.079173,,
0.152235625,-650.93434,,
0.152435625,-651.789507,,
0.152635625,-652.644674,,
0.152835625,-653.49984,,
0.153035625,-654.355007,,
0.153235625,-655.210174,,
0.153435625,-656.065341,,
0.153635625,-656.920507,,
0.153835625,-657.775674,,
0.154035625,-658.630841,,
0.154235625,-659.486008,,
0.154435625,-660.341174,,
0.154635625,-661.196341,,
0.154835625,-662.051508,,
0.155035625,-662.906675,,
0.155235625,-663.761841,,
0.155435625,-664.617008,,
0.155635625,-665.472175,,
0.155835625,-666.327342,,
0.156035625,-667.182508,,
0.156235625,-668.037675,,
0.156435625,-668.892842,,
0.156635625,-669.748008,,
0.156835625,-670.603175,,
0.157035625,-671.458342,,
0.157235625,-672.313509,,
0.157435625,-673.168675,,
0.157635625,-674.023842,,
0.157835625,-674.879009,,
0.158035625,-675.734176,,
0.158235625,-676.589342,,
0.158435625,-677.444509,,
0.158635625,-678.299676,,
0.158835625,-679.154843,,
0.159035625,-680.010009,,
0.159235625,-680.865176,,
0.159435625,-681.720343,,
0.159635625,-682.57551,,
0.159835625,-683.430676,,
0.160035625,-684.285843,,
0.160235625,-685.14101,,
0.160435625,-685.996177,,
0.160635625,-686.851343,,
0.160835625,-687.70651,,
0.161035625,-688.561677,,
0.161235625,-689.416844,,
0.161435625,-690.27201,,
0.161635625,-691.127177,,
0.161835625,-691.982344,,
0.162035625,-692.837511,,
0.162235625,-693.692677,,
0.162435625,-694.547844,,
0.162635625,-695.403011,,
0.162835625,-696.258178,,
0.163035625,-697.113344,,
0.163235625,-697.968511,,
0.163435625,-698.823678,,
0.163635625,-699.678845,,
0.163835625,-700.534011,,
0.164035625,-701.389178,,
0.164235625,-702.244345,,
0.164435625,-703.099511,,
0.164635625,-703.954678,,
0.164835625,-704.809845,,
0.165035625,-705.665012,,
0.165235625,-706.520178,,
0.165435625,-707.375345,,
0.165635625,-708.230512,,
0.165835625,-709.085679,,
0.166035625,-709.940845,,
0.166235625,-710.796012,,
0.166435625,-711.651179,,
0.166635625,-712.506346,,
0.166835625,-713.361512,,
0.167035625,-714.216679,,
0.167235625,-715.071846,,
0.167435625,-715.927013,,
0.167635625,-716.782179,,
0.167835625,-717.637346,,
0.168035625,-718.492513,,
0.168235625,-719.34768,,
0.168435625,-720.202846,,
0.168635625,-721.058013,,
0.168835625,-721.91318,,
0.169035625,-722.768347,,
0.169235625,-723.623513,,
0.169435625,-724.47868,,
0.169635625,-725.333847,,
0.169835625,-726.189013,,
0.170035625,-727.04418,,
0.170235625,-727.899347,,
0.170435625,-728.754514,,
0.170635625,-729.60968,,
0.170835625,-730.464847,,
0.171035625,-731.320014,,
0.171235625,-732.175181,,
0.171435625,-733.030347,,
0.171635625,-733.885514,,
0.171835625,-734.740681,,
0.172035625,-735.595848,,
0.172235625,-736.451014,,
0.172435625,-737.306181,,
0.172635625,-738.161348,,
0.172835625,-739.016515,,
0.173035625,-739.871681,,
0.173235625,-740.726848,,
0.173435625,-741.582015,,
0.173635625,-742.437182,,
0.173835625,-743.292348,,
0.174035625,-744.147515,,
0.174235625,-745.002682,,
0.174435625,-745.857848,,
0.174635625,-746.713015,,
0.174835625,-747.568182,,
0.175035625,-748.423349,,
0.175235625,-749.278515,,
0.175435625,-750.133682,,
0.175635625,-750.988849,,
0.175835625,-751.844016,,
0.176035625,-752.699182,,
0.176235625,-753.554349,,
0.176435625,-754.409516,,
0.176635625,-755.264683,,
0.176835625,-756.119849,,
0.177035625,-756.975016,,
0.177235625,-757.830183,,
0.177435625,-758.68535,,
0.177635625,-759.540516,,
0.177835625,-760.395683,,
0.178035625,-761.25085,,
0.178235625,-762.106016,,
0.178435625,-762.961183,,
0.178635625,-763.81635,,
0.178835625,-764.671517,,
0.179035625,-765.526683,,
0.179235625,-766.38185,,
0.179435625,-767.237017,,
0.179635625,-768.092184,,
0.179835625,-768.94735,,
0.180035625,-769.802517,,
0.180235625,-770.657684,,
0.180435625,-771.512851,,
0.180635625,-772.368017,,
0.180835625,-773.223184,,
0.181035625,-774.078351,,
0.181235625,-774.933517,,
0.181435625,-775.788684,,
0.181635625,-776.643851,,
0.181835625,-777.499018,,
0.182035625,-778.354184,,
0.182235625,-779.209351,,
0.182435625,-780.064518,,
0.182635625,-780.919685,,
0.182835625,-781.774851,,
0.183035625,-782.630018,,
0.183235625,-783.485185,,
0.183435625,-784.340352,,
0.183635625,-785.195518,,
0.183835625,-786.050685,,
0.184035625,-786.905852,,
0.184235625,-787.761019,,
0.184435625,-788.616185,,
0.184635625,-789.471352,,
0.184835625,-790.326519,,
0.185035625,-791.181685,,
0.185235625,-792.036852,,
0.185435625,-792.892019,,
0.185635625,-793.747186,,
0.185835625,-794.602352,,
0.186035625,-795.457519,,
0.186235625,-796.312686,,
0.186435625,-797.167853,,
0.186635625,-798.023019,,
0.186835625,-798.878186,,
0.187035625,-799.733353,,
0.187235625,-800.58852,,
0.187435625,-801.443686,,
0.187635625,-802.298853,,
0.187835625,-803.15402,,
0.188035625,-804.009186,,
0.188235625,-804.864353,,
0.188435625,-805.71952,,
0.188635625,-806.574687,,
0.188835625,-807.429853,,
0.189035625,-808.28502,,
0.189235625,-809.140187,,
