TIME, FY_4,
0.121435625,-776.025967,
0.121635625,-777.306535,
0.121835625,-778.587104,
0.122035625,-779.867676,
0.122235625,-781.148251,
0.122435625,-782.428827,
0.122635625,-783.709406,
0.122835625,-784.989988,
0.123035625,-786.270571,
0.123235625,-787.551158,
0.123435625,-788.831746,
0.123635625,-790.112337,
0.123835625,-791.39293,
0.124035625,-792.673525,
0.124235625,-793.954122,
0.124435625,-795.234722,
0.124635625,-796.515324,
0.124835625,-797.795929,
0.125035625,-799.076535,
0.125235625,-800.357144,
0.125435625,-801.637755,
0.125635625,-802.918369,
0.125835625,-804.198984,
0.126035625,-805.479602,
0.126235625,-806.760222,
0.126435625,-808.040845,
0.126635625,-809.321469,
0.126835625,-810.602096,
0.127035625,-811.882724,
0.127235625,-813.163355,
0.127435625,-814.443989,
0.127635625,-815.724624,
0.127835625,-817.005261,
0.128035625,-818.285901,
0.128235625,-819.566543,
0.128435625,-820.847187,
0.128635625,-822.127833,
0.128835625,-823.408481,
0.129035625,-824.689131,
0.129235625,-825.969784,
0.129435625,-827.250438,
0.129635625,-828.531095,
0.129835625,-829.811753,
0.130035625,-831.092414,
0.130235625,-832.373077,
0.130435625,-833.653742,
0.130635625,-834.934409,
0.130835625,-836.215078,
0.131035625,-837.495749,
0.131235625,-838.776422,
0.131435625,-840.057098,
0.131635625,-841.337775,
0.131835625,-842.618454,
0.132035625,-843.899135,
0.132235625,-845.179819,
0.132435625,-846.460504,
0.132635625,-847.741191,
0.132835625,-849.021881,
0.133035625,-850.302572,
0.133235625,-851.583265,
0.133435625,-852.863961,
0.133635625,-854.144658,
0.133835625,-855.425357,
0.134035625,-856.706058,
0.134235625,-857.986761,
0.134435625,-859.267466,
0.134635625,-860.548173,
0.134835625,-861.828882,
0.135035625,-863.109593,
0.135235625,-864.390306,
0.135435625,-865.671021,
0.135635625,-866.951738,
0.135835625,-868.232456,
0.136035625,-869.513177,
0.136235625,-870.793899,
0.136435625,-872.074623,
0.136635625,-873.355349,
0.136835625,-874.636077,
0.137035625,-875.916807,
0.137235625,-877.197539,
0.137435625,-878.478273,
0.137635625,-879.759008,
0.137835625,-881.039746,
0.138035625,-882.320485,
0.138235625,-883.601226,
0.138435625,-884.881969,
0.138635625,-886.162714,
0.138835625,-887.44346,
0.139035625,-888.724209,
0.139235625,-890.004959,
0.139435625,-891.285711,
0.139635625,-892.566465,
0.139835625,-893.84722,
0.140035625,-895.127978,
0.140235625,-896.408737,
0.140435625,-897.689498,
0.140635625,-898.970261,
0.140835625,-900.251025,
0.141035625,-901.531792,
0.141235625,-902.81256,
0.141435625,-904.093329,
0.141635625,-905.374101,
0.141835625,-906.654874,
0.142035625,-907.93565,
0.142235625,-909.216426,
0.142435625,-910.497205,
0.142635625,-911.777985,
0.142835625,-913.058767,
0.143035625,-914.339551,
0.143235625,-915.620337,
0.143435625,-916.901124,
0.143635625,-918.181913,
0.143835625,-919.462703,
0.144035625,-920.743496,
0.144235625,-922.02429,
0.144435625,-923.305085,
0.144635625,-924.585883,
0.144835625,-925.866682,
0.145035625,-927.147483,
0.145235625,-928.428285,
0.145435625,-929.709089,
0.145635625,-930.989895,
0.145835625,-932.270702,
0.146035625,-933.551511,
0.146235625,-934.832322,
0.146435625,-936.113134,
0.146635625,-937.393948,
0.146835625,-938.674764,
0.147035625,-939.955581,
0.147235625,-941.2364,
0.147435625,-942.51722,
0.147635625,-943.798042,
0.147835625,-945.078866,
0.148035625,-946.359691,
0.148235625,-947.640518,
0.148435625,-948.921347,
0.148635625,-950.202177,
0.148835625,-951.483009,
0.149035625,-952.763842,
0.149235625,-954.044677,
0.149435625,-955.325513,
0.149635625,-956.606351,
0.149835625,-957.887191,
0.150035625,-959.168032,
0.150235625,-960.448875,
0.150435625,-961.729719,
0.150635625,-963.010565,
0.150835625,-964.291412,
0.151035625,-965.572261,
0.151235625,-966.853112,
0.151435625,-968.133964,
0.151635625,-969.414817,
0.151835625,-970.695672,
0.152035625,-971.976529,
0.152235625,-973.257387,
0.152435625,-974.538246,
0.152635625,-975.819108,
0.152835625,-977.09997,
0.153035625,-978.380834,
0.153235625,-979.6617,
0.153435625,-980.942567,
0.153635625,-982.223436,
0.153835625,-983.504306,
0.154035625,-984.785177,
0.154235625,-986.066051,
0.154435625,-987.346925,
0.154635625,-988.627801,
0.154835625,-989.908679,
0.155035625,-991.189558,
0.155235625,-992.470438,
0.155435625,-993.75132,
0.155635625,-995.032203,
0.155835625,-996.313088,
0.156035625,-997.593974,
0.156235625,-998.874862,
0.156435625,-1000.15575,
0.156635625,-1001.43664,
0.156835625,-1002.71753,
0.157035625,-1003.99843,
0.157235625,-1005.27932,
0.157435625,-1006.56022,
0.157635625,-1007.84112,
0.157835625,-1009.12202,
0.158035625,-1010.40292,
0.158235625,-1011.68382,
0.158435625,-1012.96472,
0.158635625,-1014.24563,
0.158835625,-1015.52653,
0.159035625,-1016.80744,
0.159235625,-1018.08835,
0.159435625,-1019.36926,
0.159635625,-1020.65017,
0.159835625,-1021.93108,
0.160035625,-1023.212,
0.160235625,-1024.49291,
0.160435625,-1025.77383,
0.160635625,-1027.05475,
0.160835625,-1028.33567,
0.161035625,-1029.61659,
0.161235625,-1030.89751,
0.161435625,-1032.17844,
0.161635625,-1033.45936,
0.161835625,-1034.74029,
0.162035625,-1036.02122,
0.162235625,-1037.30215,
0.162435625,-1038.58308,
0.162635625,-1039.86401,
0.162835625,-1041.14494,
0.163035625,-1042.42588,
0.163235625,-1043.70681,
0.163435625,-1044.98775,
0.163635625,-1046.26869,
0.163835625,-1047.54963,
0.164035625,-1048.83057,
0.164235625,-1050.11151,
0.164435625,-1051.39246,
0.164635625,-1052.6734,
0.164835625,-1053.95435,
0.165035625,-1055.2353,
0.165235625,-1056.51625,
0.165435625,-1057.7972,
0.165635625,-1059.07815,
0.165835625,-1060.3591,
0.166035625,-1061.64006,
0.166235625,-1062.92101,
0.166435625,-1064.20197,
0.166635625,-1065.48293,
0.166835625,-1066.76389,
0.167035625,-1068.04485,
0.167235625,-1069.32581,
0.167435625,-1070.60677,
0.167635625,-1071.88774,
0.167835625,-1073.1687,
0.168035625,-1074.44967,
0.168235625,-1075.73064,
0.168435625,-1077.01161,
0.168635625,-1078.29258,
0.168835625,-1079.57355,
0.169035625,-1080.85452,
0.169235625,-1082.1355,
0.169435625,-1083.41647,
0.169635625,-1084.69745,
0.169835625,-1085.97843,
0.170035625,-1087.25941,
0.170235625,-1088.54039,
0.170435625,-1089.82137,
0.170635625,-1091.10235,
0.170835625,-1092.38334,
0.171035625,-1093.66432,
0.171235625,-1094.94531,
0.171435625,-1096.2263,
0.171635625,-1097.50728,
0.171835625,-1098.78827,
0.172035625,-1100.06927,
0.172235625,-1101.35026,
0.172435625,-1102.63125,
0.172635625,-1103.91225,
0.172835625,-1105.19324,
0.173035625,-1106.47424,
0.173235625,-1107.75524,
0.173435625,-1109.03624,
0.173635625,-1110.31724,
0.173835625,-1111.59824,
0.174035625,-1112.87924,
0.174235625,-1114.16025,
0.174435625,-1115.44125,
0.174635625,-1116.72226,
0.174835625,-1118.00327,
0.175035625,-1119.28428,
0.175235625,-1120.56529,
0.175435625,-1121.8463,
0.175635625,-1123.12731,
0.175835625,-1124.40833,
0.176035625,-1125.68934,
0.176235625,-1126.97036,
0.176435625,-1128.25137,
